pk,pk,strength
1027580,1018484,11323
1286415,1018484,12023
1509541,1018484,6665
1019581,1018488,2861
1019593,1018488,1218
1019648,1018488,2861
1019833,1018488,2861
1020029,1018488,2861
1020428,1018488,334
1020428,1018488,1550
1020596,1018488,2710
1020596,1018488,3926
1020644,1018488,2861
1021168,1018488,2861
1021411,1018488,2861
1021411,1018488,4077
1021433,1018488,2861
1021984,1018488,699
1022126,1018488,1399
1022126,1018488,2981
1022158,1018488,2861
1023067,1018488,2861
1023068,1018488,2861
1023103,1018488,2861
1023560,1018488,2861
1023674,1018488,2861
1023682,1018488,1430
1023836,1018488,334
1023863,1018488,2861
1024651,1018488,1341
1024696,1018488,2861
1024796,1018488,2861
1024837,1018488,2861
1024856,1018488,2861
1024919,1018488,2861
1025217,1018488,2861
1025346,1018488,2861
1025478,1018488,2861
1025672,1018488,610
1026331,1018488,2861
1026751,1018488,2861
1027012,1018488,1188
1027344,1018488,2861
1028036,1018488,2861
1028546,1018488,2861
1029052,1018488,2861
1029260,1018488,2861
1029337,1018488,2861
1029337,1018488,4077
1029370,1018488,183
1029542,1018488,699
1047265,1018488,2861
1062815,1018488,2861
1088433,1018488,2861
1113636,1018488,426
1134140,1018488,2861
1142018,1018488,2861
1184758,1018488,1979
1188229,1018488,304
1189990,1018488,2861
1212596,1018488,2861
1243144,1018488,2861
1249117,1018488,2861
1250942,1018488,2861
1277749,1018488,1522
1282840,1018488,2861
1353136,1018488,487
1353739,1018488,183
1390346,1018488,2861
1417672,1018488,2861
1423769,1018488,1522
1426069,1018488,245
1432708,1018488,1795
1439935,1018488,2861
1452494,1018488,2861
1533940,1018488,1035
1019205,1018494,6087
1020013,1018494,12205
1021626,1018494,3896
1023093,1018494,13239
1024248,1018494,2192
1024756,1018494,12966
1027174,1018494,8126
1028599,1018494,12935
1029915,1018494,4322
1059965,1018494,12754
1289542,1018494,3712
1333087,1018494,2192
1511492,1018494,10623
1020027,1018501,8491
1023022,1018501,6879
1026018,1018501,6879
1029830,1018501,6879
1197616,1018501,9436
1279349,1018501,7761
1401331,1018501,9191
1019205,1018511,6087
1019580,1018511,8006
1019602,1018511,2678
1019602,1018511,3165
